player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
Hamady Ndiaye,2011,C,24,5.3,0.681,0,2.4,2.8,7.4,0,1.3,4.8,22.6,7.3,0,0,0.046,-6.9,0.6,-6.3,-0.1,80,61
Hamed Haddadi,2011,C,25,19.7,0.55,0.017,0.397,16.9,31.6,4.8,0.6,6.3,13.9,21.2,0.3,0.3,0.164,-1.1,-0.1,-1.1,0,199,61
Hasheem Thabeet,2011,C,23,4.70080429,0.4798887399,0,0.8811903485,7.608713137,16.51045576,1.392493298,1.293029491,3.475603217,23.52238606,8.71233244,-0.149463807,0.4973190349,0.04279892761,-6.490080429,0.8628686327,-5.677211796,-0.2983914209,373,2
Hassan Whiteside,2011,C,21,-17.9,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-27.9,0,-27.9,0,2,33
Hedo Turkoglu,2011,SF-PF,31,13.43799213,0.5546082677,0.4284015748,0.2165393701,2.110433071,14.01161417,21.4726378,1.5,0.9992125984,14.31437008,16.72440945,2.814370079,2.877559055,0.1292992126,0.2872047244,1.413976378,1.701181102,1.913976378,2749,16
Hilton Armstrong,2011,C,26,8.816803279,0.5086721311,0.05280327869,0.4334098361,9.513934426,21.58893443,4.184836066,1.91557377,3.305737705,23.64467213,10.86680328,-0.1,0.4766393443,0.04485655738,-4.709836066,1.035655738,-3.716393443,-0.1844262295,523,12
Ian Mahinmi,2011,C,24,13.7,0.645,0.02,0.837,10.7,17.8,2.5,1.5,2.3,15.7,15.3,1,0.8,0.177,-3.3,1.1,-2.1,0,521,28
Ike Diogu,2011,PF,27,13.7,0.59,0,0.419,10.3,18.3,0.7,0.3,0.5,11.2,18.7,0.7,0.3,0.104,-2.4,-2.5,-4.9,-0.3,470,9
Ime Udoka,2011,SF,33,5.3,0.285,0.381,0.381,4.6,12.2,13.2,3.2,0.5,16.9,10.4,-0.2,0.2,0.008,-5.9,2.8,-3.1,0,130,61
Ish Smith,2011,PG,22,7.624773756,0.4072138009,0.08728167421,0.1801334842,1.80938914,10.31459276,25.49954751,2.088348416,0.2988687783,21.54807692,15.89513575,-0.3627828054,0.3244343891,-0.01569230769,-4.521832579,-0.478959276,-5.000791855,-0.2127828054,452,61
J.J. Barea,2011,PG,26,14.8,0.535,0.291,0.242,2.1,8.8,31.2,0.9,0,15.9,23.9,1.9,1.4,0.093,0.5,-1,-0.5,0.6,2059,61
Jamaal Magloire,2011,C,32,12.7,0.585,0,0.818,13.6,31.2,2.8,1.3,1,14.3,10.3,0.3,0.3,0.172,-1.5,0.9,-0.6,0.1,176,19
Jamal Crawford,2011,SG,30,14.2,0.545,0.399,0.297,1.2,5.6,17.7,1.3,0.5,12.8,23.4,1.9,1.4,0.071,0.6,-1.6,-1,0.6,2655,8
Jamario Moon,2011,SF,30,10.09318618,0.4997696737,0.4957648752,0.06936948177,2.490115163,16.02332054,7.816314779,1.403262956,2.416602687,7.919961612,12.00988484,0.3,0.5599808061,0.04983493282,-1.503358925,0.4699616123,-1.096737044,0.1733205374,1042,61
Jameer Nelson,2011,PG,28,15.4,0.548,0.354,0.193,1.9,9.3,33.7,1.7,0.1,17.6,22,3.4,3.2,0.136,1,0.1,1.1,1.8,2535,20
James Anderson,2011,SF,21,8.5,0.529,0.568,0.222,0.8,8.3,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.051,-1.1,-0.6,-1.7,0,286,20
James Harden,2011,SG,21,16.4,0.598,0.474,0.501,2.3,11,12.8,2.2,0.8,11.3,19.5,5,2.1,0.156,1.3,0.6,1.9,2.2,2726,3
James Johnson,2011,SF,23,12.57080292,0.5059124088,0.1423832117,0.2995711679,5.209854015,15.36970803,16.39963504,2.077189781,3.394525547,19.04306569,18.18120438,0.005109489051,0.5925182482,0.03566058394,-1.606386861,0.9169708029,-0.6394160584,0.2700729927,822,16
James Jones,2011,SF,30,11.1,0.629,0.829,0.208,1.9,9.9,4.1,1,1,5.3,12,3,1.7,0.145,0.7,0.3,1,1.2,1821,49
James Posey,2011,SF,34,7.5,0.485,0.88,0.062,1.3,18,6.1,1.4,0.5,8.8,14.3,0,1,0.056,-2.6,0.5,-2.1,0,839,18
Jared Dudley,2011,SF,25,15.6,0.598,0.402,0.347,6,11.2,7.6,2.1,0.7,9.6,16.9,4.2,1.4,0.126,1.5,0.2,1.8,2,2140,22
Jared Jeffries,2011,PF,29,8.018136439,0.381078203,0.09478452579,0.3467895175,11.70033278,10.2985025,8.097753744,2.6,2.019633943,18.48860233,8.803660566,0.03851913478,0.4155574043,0.04504076539,-2.780366057,0.5392678869,-2.19109817,-0.01148086522,686,11
Jarrett Jack,2011,SG-PG,27,14.19849013,0.5026901858,0.1699256678,0.3361385017,1.380603949,10.87166086,23.28249129,1.700377468,0.3096980256,13.045964,23.01977352,0.8391695703,1.229094077,0.06593960511,-0.3112078978,-0.4205284553,-0.7317363531,0.4794715447,1833,22
Jarron Collins,2011,C,32,1.580662983,0.3880331492,0,0.5272790055,9.116022099,6.409392265,1.531491713,1.113812155,0.4168508287,21.34834254,8.07679558,-0.1,0.09337016575,-0.01622099448,-7.402486188,-1.484530387,-8.887016575,-0.2433701657,181,52
Jason Collins,2011,C,32,5.4,0.539,0.014,0.577,6.1,14.5,5.3,0.8,1.2,22.6,9.2,0.1,0.5,0.049,-5.3,0.4,-4.8,-0.4,751,18
Jason Kapono,2011,SF,29,1.6,0.277,0.286,0.071,3.1,8.2,5,0.9,0.7,6.5,12.7,-0.3,0.1,-0.07,-5.7,-1.7,-7.4,-0.2,112,31
Jason Kidd,2011,PG,37,14.4,0.5,0.656,0.129,1.6,13.4,35.4,2.7,0.8,22.1,14.3,2.5,3.9,0.116,0.9,2,2.8,3.3,3397,2
Jason Maxiell,2011,PF,27,9.4,0.51,0,0.524,8.3,14.7,2.7,1.4,1.8,15.9,13.9,0,0.4,0.024,-3.3,-1.1,-4.4,-0.6,930,26
